areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1550,,1800,1900,1775,1980,1850,1700,1700,1487,1485,1550,1475,1650,1600,1700,1775,1675,1675,1748,1675,2225,2075,2050,2125,2125,1999,1999,1950,1950,1988,2000,2100,2000,1995,1998,2050,2038,2200,2078,2150,2113,2113,1971,2131,2200,2200,2200,2198,2200,2300,2300,2175,2200,2100,2100,2100,1900,2150,2200,2197,2199,2075,2150,2075,2225,2250,2250,2250,2225,2250,2300,2225,2225,2250
Corona,Queens,neighborhood,1100,1098,1095,1095,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,950,950,950,950,950,950,950,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1497,1500,1500,1425,1500,1650,1550,1550,1513,1573,1600,1650,1650,1650,1650,1663,1695,1650,1695,1795,1863,1695,1775,1770,1770,1713,1938,1948,1983,1870,1850,1850,1765,1803,1840,1890,1895,1975,1825,1785,1825,1903,1950,1885,1828,1805,1735,1725,2107,2350,2405,1995,1955,2168,2115,2365
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100
Crown Heights,Brooklyn,neighborhood,2000,2125,2150,2050,1900,1800,1500,1500,1500,1525,1550,1575,1600,1600,1550,1600,1693,1850,1850,1638,1825,1700,1700,1663,1900,2000,1950,2000,1900,1850,1900,1935,1935,1911,1922,1885,1950,2000,2000,2100,2100,2100,2100,2100,2150,2200,2199,2000,2100,2000,2200,2264,2400,2350,2350,2300,2200,2200,2200,2150,2200,2250,2200,2295,2300,2300,2400,2400,2300,2300,2250,2275,2300,2350,2400,2400,2400,2450,2492,2499,2400,2400,2300,2291,2291,2300,2300,2300,2300,2399,2450,2499,2450,2400,2385,2350,2300,2300,2395,2400,2400,2450,2692,2646,2550,2400,2400,2400,2400
DUMBO,Brooklyn,neighborhood,3275,3200,2800,2875,2800,2950,3400,3825,4200,4150,4250,4200,4100,3950,3550,3650,3475,4000,4150,4000,4000,4000,4000,3775,4200,4200,4250,3500,3650,3700,4100,4300,4300,4300,4350,4100,4100,3500,3650,4200,4025,3800,3775,3938,3850,3650,3800,3773,4000,3888,4000,4000,4100,4150,4150,4227,4204,4275,4204,4100,3891,3935,4375,3925,3900,4100,4140,4250,4505,4300,4480,4550,4250,4074,4100,4250,4948,4800,4800,4354,4354,4550,4700,4354,4455,4750,4587,4450,4495,4375,4500,4195,4438,4335,4500,4426,4177,4126,4126,3900,4226,4500,4200,4785,4195,4795,5007,5019,4757
Ditmas Park,Brooklyn,neighborhood,1600,1850,1850,1500,,,2100,3625,,,1638,,1595,1573,1600,1575,1600,1725,1750,1675,1575,1650,1575,1575,1600,1600,1700,1750,1675,1598,1750,1750,1725,1700,1600,1700,1700,1600,1600,1675,2200,1700,1975,1700,1775,1550,1600,1800,1750,1738,1625,1763,1850,1873,1900,1900,1775,1850,1663,1800,1850,1850,1850,1875,1913,2100,2100,2000,1995,2045,1999,2000,1950,1900,1900,1900,2000,1999,1999,1995,1975,1938,1900,1900,1925,1999,1997,1999,2000,2000,1999,1999,2195,2163,1899,1995,1999,2195,2100,2000,1999,2073,2400,2400,2086,2000,1995,2172,2250
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,1950,1850,2200,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,2247,2227,2191,2250,2400,2472,2550,2569,2530,2505,2551,2500,2600,2498,2450,2495,2301,2424,2500,2520,2500,2500,2625,2698,2500,2443,2511,2452,2650,2800,2800,2835,2813,2800,2923,3000,3000,2925,2915,2900,2898,2880,2900,3000,2883,2905,2850,2900,2900,3000,2950,2895,2900,2940,3000,3095,3100,3170,3200,3165,3181,3230,3255,3228,3240,3205,3184,3184,3195,3185,3108,3115,3120,3100,3156,3158,3132,3167,3175,3156,3080,3095,3105,3067,3063,3121,3053,3121,3120,3145,3195,3238,3195,3198,3092,3150,3195,3280,3380,3473,3398,3410,3369,3411,3369,3353,3277,3395,3374
Dyker Heights,Brooklyn,neighborhood,,,,,1200,,,1300,,1295,1295,1348,1400,1300,1300,1250,1325,1300,1350,1300,1450,1425,1600,,1400,1600,,,,,,,,,,,,1395,1348,1200,1225,1263,,,,,1825,,1750,1700,1600,1600,1475,1550,1450,1800,1800,1750,2100,1975,1800,1825,1825,1900,1900,2100,2050,1950,1950,1925,1875,1825,1925,2100,1995,2163,1950,1995,2200,2200,2300,2200,2200,2200,2200,2200,2198,2100,1999,1950,1950,1850,2050,1948,2193,2100,2148,1995,1950,2000,2145,1900,2000,2000,1950,2200,2225,2200,1970
East Brooklyn,Brooklyn,submarket,1700,1750,1650,1750,1750,1600,1500,1460,1500,1550,1600,1650,1695,1600,1695,1650,1695,1650,1700,1650,1700,1685,1750,1700,1700,1750,1800,1850,1800,1800,1800,1845,1881,1825,1900,1900,1990,1995,1950,2000,2095,2100,2100,2200,2199,2200,2200,2199,2150,2100,2200,2250,2300,2350,2325,2350,2300,2250,2295,2253,2275,2300,2300,2395,2400,2400,2475,2499,2400,2400,2350,2325,2350,2400,2400,2400,2500,2500,2500,2500,2495,2450,2400,2395,2350,2350,2350,2399,2400,2495,2500,2500,2499,2450,2400,2380,2350,2350,2400,2450,2500,2550,2649,2600,2575,2500,2475,2450,2450
East Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,2400,
East Flatbush,Brooklyn,neighborhood,2000,1700,2100,2400,,,2350,2025,2350,2200,,1100,1075,1475,1448,1725,1775,1775,2275,2450,2450,2450,1800,1588,1900,1588,1600,1600,1600,1600,2198,1808,1488,1225,1175,1295,1295,1295,1325,1450,1800,1650,1675,1700,1600,1400,1500,1650,1650,1800,1525,1600,1900,1900,1750,1650,1463,1400,1400,1400,1400,1450,1450,1500,1625,1700,1795,1895,2000,1800,1700,1650,1800,1895,1800,1848,1800,1850,1850,1900,1900,1999,1925,1850,1900,2000,2000,2000,1999,1999,2050,2100,2000,1925,1950,1997,2080,2068,2095,2050,2195,2100,2150,2250,2399,2100,2125,2199,2195
East Harlem,Manhattan,neighborhood,1895,1900,1895,1975,1998,2095,2195,2185,2198,2180,2200,2175,2100,2000,2000,1975,1895,1900,1875,1897,1897,1950,1900,1997,2195,2100,2050,2050,2100,2095,2095,2173,2150,2150,2100,2200,2198,2228,2250,2200,2271,2250,2250,2200,2200,2097,2090,2100,2000,2100,2150,2185,2195,2104,2150,2095,2050,2100,2100,2116,2150,2195,2190,2280,2294,2300,2300,2261,2250,2300,2300,2250,2250,2250,2300,2374,2400,2435,2450,2395,2334,2300,2400,2399,2395,2350,2360,2353,2395,2445,2450,2395,2375,2375,2300,2395,2300,2324,2350,2295,2352,2390,2387,2350,2350,2314,2250,2250,2300
East New York,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,1350,1400,1450,1513,1450,1650,1650,1363,1363,1548,1573,1500,1498,1435,1350,1500,1500,1500,1495,1473,1500,1698,1673,1600,1650,1700,1775,1750,1650,1650,1600,1663,1675,1648,1749,1900,1800,1950,1850,1850,1850,1725,1925,1900,1900,1850,1875,2100,2150,2000,1875,2000,2000,1950,1950,2000,2000,2099,2000,2050,2100,1950,1850,1900,1995,2000,2100,2150,2100,2150,2150,2150,2200,2150,2199,2100,2199,2100
East Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319,,1209,,,1136,1150,1200,,1475,1312,1312,1320,1275,1510,1488,1500,1450,1725,1700,1775,1750,1450,1425,,1400,1400,,,,,1698,1695,,,1500,1588,1625,1850,1775,1750,1750,,1700,1690,1750,1700,1700,1700,1650,1663,,1775,1850,1850,1750,2100,1850,1910,1950
East Village,Manhattan,neighborhood,2500,2500,2400,2500,2595,2595,2600,2595,2695,2795,2698,2700,2700,2600,2695,2750,2900,2875,2800,2900,3295,2950,2900,2900,2995,2850,2885,2998,3000,3000,3000,3000,2995,3000,3000,3000,3100,3095,3025,3100,3100,3190,3162,3250,3250,3100,3100,3000,3000,3000,3000,3000,3200,3163,3200,3295,3200,3150,3100,3100,3000,2900,2950,3100,3115,3150,3200,3200,3173,3150,3095,3100,3100,3077,3200,3250,3300,3300,3299,3200,3148,3100,3100,3000,3000,3195,3190,3350,3350,3277,3250,3200,3000,3000,2900,2931,2995,3000,3025,3263,3450,3400,3325,3395,3250,3200,3140,3100,3095
Eastchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenwald,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,Queens,neighborhood,1113,1150,1188,1150,,1050,,,,,,,,,,,,1275,,1325,,,,,,,,,,,,1515,1515,1950,1950,1950,1900,1900,1900,1925,1900,1940,2150,1840,1940,2080,1899,1685,1658,1875,1950,1950,1750,1825,1900,1963,1800,1700,1700,1698,1650,1898,1924,1912,1925,2000,1825,1838,1788,1775,1825,1750,1750,1885,1850,1850,1675,1950,1888,1800,1825,1825,1775,1825,1813,2100,2000,2000,2091,1950,2090,1950,1950,1897,1896,1900,1950,1935,1935,1913,1850,1750,1913,1990,2040,1900,1863,1900,1950
Financial District,Manhattan,neighborhood,3198,3100,3015,3000,3200,3244,3107,3100,3025,3250,3250,3215,3300,3400,3395,3250,3325,3480,3500,3500,3595,3595,3488,3400,3450,3400,3375,3500,3450,3500,3675,3600,3700,3650,3900,3664,3500,3415,3350,3350,3395,3450,3500,3550,3550,3550,3509,3500,3500,3495,3495,3500,3550,3550,3500,3500,3600,3589,3500,3500,3499,3618,3595,3605,3695,3670,3700,3650,3695,3654,3550,3530,3500,3520,3550,3595,3600,3650,3700,3625,3663,3646,3500,3484,3450,3475,3565,3595,3650,3623,3785,3750,3700,3621,3657,3650,3591,3748,3595,3595,3600,3650,3750,3800,3792,3750,3750,3700,3775
Flatbush,Brooklyn,neighborhood,,1600,,1595,,1450,,1165,1180,1165,1150,1100,1100,1100,1125,1925,1950,1850,1500,1225,1100,1250,1300,1313,1338,1400,1413,,,1350,1425,1400,1425,1325,1350,1500,1500,1500,1500,1450,1500,1600,1500,1678,1600,1600,1575,1500,1600,1688,1688,1625,1700,1600,1750,1700,1650,1550,1550,1750,1725,1700,1750,1750,1800,1800,1825,1900,1875,1850,1850,1850,1850,1850,1850,1900,1895,1932,1900,1900,1900,1900,1900,1895,1895,1900,1900,1950,1950,2000,2100,2050,2000,2095,1995,1950,2000,2000,2000,1950,2050,2095,2099,2200,2200,2125,2150,2100,2084
Flatiron,Manhattan,neighborhood,3895,3750,3550,3695,3893,3850,3900,3999,4100,3995,3875,3900,3995,4200,4100,4150,4000,3925,3995,3975,4400,4150,4200,4425,3800,3950,3950,3850,4450,4475,4388,4350,4395,4173,4300,4300,4350,4358,4198,4195,4221,4350,4350,4373,4077,3995,3849,3817,4196,4200,4296,4395,4591,4500,4638,4820,4895,4495,4395,4395,4490,4553,4870,4898,5070,5100,4998,4995,5000,4998,4950,4998,5000,4995,4685,4670,4560,4700,4900,4813,4912,4795,4611,4605,4525,4595,4498,4600,4695,4595,4500,4800,4800,4600,4750,4695,4595,4550,4495,4475,4550,4564,4598,4600,4850,4811,4500,4566,4745
Flatlands,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,2100,2150,,,,,2100,,1850,2000,,,,,,1875,2200,2000,1925,1925,
Floral Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,Queens,neighborhood,1575,1450,1400,1350,1300,,1300,,,,,1295,1295,1295,1295,1295,1295,1295,1375,1450,1450,1325,1282,1295,1288,1292,1399,1500,1450,1398,1495,1513,1500,1513,1563,1625,1525,1500,1460,1600,1600,1588,1838,1950,1950,1675,1508,1555,1498,1600,1825,1838,1790,1798,1900,1950,1850,1825,1875,1795,1700,1750,1700,1750,1825,1800,1850,1850,1800,1800,1750,1750,1780,1863,2025,2050,2100,2100,1825,1838,2000,2150,2063,2150,2200,2188,1925,2000,2000,2200,2300,2200,1950,2000,1988,1887,1950,1863,1800,1950,1975,1975,1898,1995,1998,1850,1910,1910,1900
Fordham,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,1200,,,,,,,,,,,,,,,,,,,,,,,,1195,1250,1250,1450,1400,1199,1250,1313,1323,1425,1400,1400,1413,1600,1450,1350,1413,1463,1550,1550,1550,1550,1550,1500,1525,1495,1475,1625,1825,1700,1783,1750,1815,1795,1825,1800,1708,1753,1845,1718,1823,1749,1750,1700,1825,1940,2000,1900,1673,1723,1750
Forest Hills,Queens,neighborhood,2000,1800,1700,1663,1550,1588,1700,1750,1695,1725,1675,1650,1663,1650,1675,1773,1825,1850,1895,2100,2248,2150,1998,1850,1825,1995,1850,1850,1825,1825,2025,2050,2025,2100,1895,2050,1995,1900,1800,1800,1800,1800,2050,1950,2050,1875,1900,2050,2100,2095,2025,2015,1950,2015,2015,2295,2015,2000,2100,2195,2015,2015,2015,2015,2100,2213,2138,2300,2300,2295,2195,2200,2200,2195,2100,2163,2195,2163,2200,2200,2200,2150,2125,2150,2100,2100,2000,2000,1997,2100,2138,2100,2100,2100,2100,2050,2000,2000,2100,1975,1975,1975,2000,2100,2100,2000,2000,1995,2050
Fort Greene,Brooklyn,neighborhood,2470,2200,2200,2200,2225,2373,2400,2400,2400,2425,2400,2425,2400,2500,2500,2500,2500,2600,2500,2600,2600,2525,2500,2500,2500,2550,2600,2758,2700,2500,2650,2700,2575,2550,2625,2750,2600,2895,2889,2800,2550,2600,2725,2725,2775,2700,2700,2700,2750,2650,2698,2700,2750,2795,2750,2800,2645,2650,2650,2695,2700,2850,2930,2950,2850,2800,2895,2850,2800,2750,2800,2730,2700,2700,2800,2700,2800,2861,2899,2995,2900,2800,2785,2723,2750,2800,2865,3000,2900,2950,2900,2900,2840,2733,2700,2737,2700,2700,2700,2800,2800,2875,2950,2900,2876,2850,3000,2925,2800
Fresh Meadows,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1950,2100,1975,2375,2450,,,,,,,,,,,,,,,,,,
Gerritsen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Oaks,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,1850,,,,,,,,,,,,,1788,,1763,1775,1750,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,
Glendale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1500,1700,1750,1575,1400,1450,1450,,,,,1400,,1400,1388,1363,,1475,1550,1500,1695,1713,1638,1725,1450,,1775,1700,1700,1797,1800,1700,1750,1875,2000,2000,1800,1850,1825,1800,2000,1875,1875,1875,1899,2000,2000,1875,1863,2000,1900,2000,2078,2200,2200,2000,2000,2000,2000,2000,2000,1925,2023,2050,1999,2000,2000,2000,2150,2200,2100,2250,2000,2000,2075,2050,1999,2000
Gowanus,Brooklyn,neighborhood,,1600,,,1800,,,,,2600,2200,2550,2400,2300,2675,2713,2500,3100,2920,3475,3475,3055,2950,3184,,,1925,2255,2255,2200,2650,2650,2850,2675,2638,2900,2569,2950,3000,3034,3050,3200,3050,2875,2950,2900,2850,2975,2950,3200,3500,3275,3100,3195,3000,2773,2600,3375,3650,3000,2825,2995,2850,3100,3350,3200,3250,3400,3250,3250,3250,3300,3400,3398,3150,3200,3231,3000,3000,3277,3000,3000,3028,3000,3000,3000,2792,2755,2900,2861,2860,3000,3000,2800,2776,2695,2753,2756,2629,2770,3230,3025,3200,3399,2765,2875,2855,2888,3129
Gramercy Park,Manhattan,neighborhood,3100,3000,2995,3100,2995,2950,2900,3100,3200,3200,3450,3355,3195,3200,3100,3000,3050,3099,2950,2995,3450,3548,3500,3398,3495,3250,3250,3200,3395,3300,3273,3300,3425,3500,3500,3500,3295,3395,3500,3363,3498,3250,3395,3495,3500,3400,3500,3500,3495,3300,3385,3400,3355,3300,3325,3350,3350,3250,3395,3498,3550,3500,3300,3500,3500,3500,3500,3595,3750,3500,3500,3625,3690,3690,3650,3695,3800,3650,3600,3599,3500,3300,3297,3395,3460,3500,3500,3595,3600,3500,3480,3450,3450,3298,3200,3238,3400,3500,3500,3450,3625,3500,3590,3500,3595,3400,3575,3650,3595
Gravesend,Brooklyn,neighborhood,,1519,1400,1388,,,,,,1325,1313,1300,1300,1275,1400,,,1475,1423,1498,1250,1359,1250,1275,1500,1445,,,1250,1410,1410,1500,1563,1250,1325,1495,1400,1375,1375,1400,1393,1400,1600,1700,1500,1550,1525,1500,1475,1450,1400,1400,1400,1400,1600,1700,1450,1495,1613,1575,1650,1675,1700,1700,1695,1625,1675,1700,1750,1750,1750,1675,1750,1725,1775,1850,1925,1985,1695,1775,1800,1825,1910,1773,1800,1895,1800,1800,1750,1800,1800,1713,1800,1710,1875,1735,1698,1700,1750,1799,1913,1799,1800,1850,1750,1950,1800,1750,1725
Greenpoint,Brooklyn,neighborhood,2300,2225,2350,2300,2300,2250,2400,2500,2575,2700,2600,2500,1950,2200,2300,2425,2500,2500,2375,2400,2300,2495,2325,2500,2300,2300,2300,2600,2600,2500,2500,2700,2500,2650,2650,2700,2500,2650,2650,2650,2650,2795,2750,2800,2750,2950,2750,2695,2800,2850,2750,2850,3000,3000,2850,2850,2800,2800,2700,2599,2500,2600,2600,2800,2710,2700,2900,3000,2895,2850,2700,2700,2750,2700,2760,2800,2800,2800,2850,2905,2850,2850,2850,2800,2800,2800,2750,2750,2795,2900,2900,2795,2850,2700,2699,2597,2600,2597,2700,2750,2775,2995,3000,2950,2900,2800,2765,2800,2850
Greenwich Village,Manhattan,neighborhood,3200,3200,2979,3000,3000,3000,3000,3000,3650,3800,3700,3563,3400,3500,3250,3250,3300,3200,3000,3600,3938,3950,3973,3950,3695,3650,3700,3750,3595,3495,3600,3700,3973,3750,3895,3683,3600,3795,3600,3500,3500,3450,3500,3498,3475,3550,3650,3666,3725,3800,3773,3673,3700,3495,3450,3495,3500,3885,3895,3895,3850,3700,3700,3600,3550,3500,3550,3800,3995,4150,4000,4025,4000,3895,3995,3900,3775,3785,3795,3795,3900,3900,3800,3800,3825,3795,3798,3800,3713,3595,3600,3500,3600,3593,3550,3500,3550,3773,3550,3650,3650,3800,3800,3750,3850,3795,4000,3997,4195
Greenwood,Brooklyn,neighborhood,1775,1750,1700,1700,1800,1800,2000,2400,2500,2125,1999,1900,1900,1395,1950,2450,2450,2000,2000,2050,2125,2650,2400,2100,1948,2000,2000,2000,1998,1950,1950,2150,2125,2048,2200,2250,2100,2100,2150,2100,1900,2150,2200,2200,2400,2350,2275,2000,2000,2050,2200,2200,2200,2200,2195,2100,2100,2150,2200,2200,2200,2125,2125,2200,2200,2200,2300,2298,2300,2300,2295,2275,2200,2200,2200,2175,2200,2300,2300,2400,2200,2100,2100,2100,2198,2200,2197,2300,2300,2350,2300,2350,2300,2500,2450,2399,2190,2250,2400,2450,2550,2669,2695,2750,2600,2450,2395,2200,2275
Hamilton Heights,Manhattan,neighborhood,1650,1700,1688,1800,1695,1750,1795,1750,1900,1875,1800,1800,1775,1688,1663,1650,1700,2050,2025,2000,2275,2200,2350,2400,2450,2100,1900,1875,1950,2175,1995,1925,1850,1960,2100,2150,1995,2100,2000,1997,2198,2100,2100,2100,2273,2100,2150,2000,2100,2100,2100,2125,2173,2100,2250,2250,2200,2250,2250,2288,2300,2400,2300,2275,2400,2500,2500,2500,2400,2295,2300,2400,2400,2400,2500,2400,2373,2300,2300,2350,2350,2338,2400,2450,2400,2375,2387,2400,2432,2500,2465,2400,2495,2400,2350,2300,2250,2200,2398,2575,2475,2400,2500,2500,2595,2403,2495,2450,2375
Highbridge,Bronx,neighborhood,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,,,,,,,,,,,,,,1525,1525,1525,1400,1250,1350,1275,1297,,1525,1250,1688,1500,1675,1348,1700,1900,1900,,1650,1650,1700,1700,1700,1638,1699,1600,1549,1650,1650,1650,1588,1625,1750,1800,1750,2030,1850,1790,1790,1885,1970,1800,1763,1800,1800,1775,1725,1800,1995,1950,1950,2155
Hillcrest,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2425,2350,2375,2525,,,,,,,,,2550,,,,4075,,,,3350,3100
Hollis,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Beach,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,,,,,,,,,,,,,,,,,,,2200,1950,,,1725,,,,,1800,,,,,,2000,,2000,2000,
Hunts Point,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1650,,,,2125,,1625,,,,,,,,,,,,
Inwood,Manhattan,neighborhood,1400,1395,1395,1395,1350,1349,1363,1450,1595,1595,1595,1600,1700,1595,1573,1600,1573,1395,1500,1468,1600,1625,1450,1510,1475,1450,1465,1453,1475,1545,1545,1550,1525,1499,1425,1450,1450,1400,1500,1413,1538,1700,1700,1675,1600,1725,1738,1725,1750,1588,1587,1650,1603,1650,1650,1700,1750,1750,1800,1650,1782,1750,1685,1850,1800,1895,1950,1950,1800,1900,1900,1879,1901,1791,1846,1950,1950,1850,1850,1813,1800,1795,1795,1795,1750,1800,1850,1875,1881,1850,1850,1850,1845,1845,1750,1795,1850,1850,1900,1900,1850,2000,1998,1925,1925,1975,1913,1877,1800
Jackson Heights,Queens,neighborhood,1250,1250,1425,,,1363,1375,,,,,1525,,,1345,1345,1375,1375,1325,1450,1525,,1395,1500,1500,1500,1500,1440,1500,1500,1500,1500,1575,1700,1675,1600,1548,1600,1600,1650,1575,1500,1625,1500,1575,1600,1625,1600,1600,1725,1750,1750,1750,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1800,1800,1813,1800,1798,1800,1800,1800,1800,1750,1800,1800,1842,1863,1900,1875,1900,1913,1950,1950,1850,1850,1850,1850,1850,1850,1850,1900,1850,1900,1925,1900,1950,1894,1875,1850,1850,1950,1950,1950,1900,1795,1795,1788
Jamaica,Queens,neighborhood,,,,,,,,,,,,,,1525,,,,,,,,,,,1750,1758,1758,1616,1616,1899,1758,,,,,,,,,1573,1595,1500,1545,1795,1650,1595,1688,1750,,,1595,,,,,,2000,1645,1695,1850,2150,,1813,1550,1600,1695,1625,1625,1600,1549,1750,1945,1800,1800,1950,1994,1875,,,1956,1854,1902,1902,1950,1903,1950,2010,2000,1975,2383,2450,1725,1763,2050,1828,1828,1995,1995,1995,1998,1946,2200,2383,2329,2275,2170,2170,2125,2170
Jamaica Estates,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1650,1673,,1650,1700,1700,,1573,,1650,1695,1625,1700,1700,1650,1613,1638,1625,1650,1573,1550,1625,1700,1700,1900,1700,1700,1750,2025,2250,2195,1738,1795,1600,1750,1938,2998,2495,1995,1995,1875,1850,1800,1888,1800,1833,2545,2320,2295,2360,2325,1893,2399,1623
Jamaica Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,1650,1588,1625,1925,2000,,2250,,,,,,,,,,,2400,2400,,,,,,
Kensington,Brooklyn,neighborhood,1800,1775,1775,1975,,,,1700,1675,1600,1650,1600,,1650,2400,1700,1700,1688,1550,1600,1675,1638,1500,1550,1650,1525,1600,1800,1800,1600,1550,1650,1800,1850,1988,1700,1500,1500,1700,1650,1850,1650,1650,1750,1800,2000,2000,1800,1750,1695,1900,1900,1900,1900,1800,1750,1800,1950,1925,1875,1799,1829,1873,2000,1995,2000,2100,2000,2100,2200,2193,2050,2100,2000,2000,2100,2049,2000,2100,2163,2100,2150,2100,2100,2100,1970,1895,1900,1950,2000,2100,2050,2000,2050,2000,2000,2095,2100,2100,1988,1995,2000,2200,2200,2100,2000,2100,2100,2142
